id,name,description,price,quantity
0,Wireless Keyboard,A compact wireless keyboard with a long battery life.,399.99,1
1,Noise-Cancelling Headphones Max,High-quality headphones with active noisecancelling.,1999.99,81
2,Hej,A stunning 27-inch 4K monitor with vibrant colors.dddddddddddddddddddddddddddddd,2.44,2
3,Bluetooth Speaker,Portable Bluetooth speaker with deep bass and crystal clear sound.,599.99,7
4,Gaming Mouse Extreme,Ergonomic gaming mouse with customizable buttons and RGB lighting.,499.99,20
5,Smartwatch Fit,Fitness-focused smartwatch with heart rate monitor and GPS.,1499.99,80
6,Portable SSD 1TB,High-speed portable SSD with 1TB storage capacity.,520.0,5
7,USB-C Hub,"7-in-1 USB-C hub with HDMI, USB 3.0, and SD card reader.",949.99,6
8,Mechanical Keyboard,RGB mechanical keyboard with tactile switches.,899.99,11
9,xCONE Webcam,Full HD webcam with built-in microphone for video conferencing.,499.99,7
11,nyprodukt,nybeskrivning,123.456,789
12,new_product,new_description,12.34,56
13,exampletextmm,exampledescmm,1000,1000
14,hej,då,1,23
